building_name,latitude,longitude,wikipedia_url,architect,building_type,location,construction_start,construction_end,construction_time,renovation_date
Adile Sultan Palace,41.0721611, 29.0579694,https://en.wikipedia.org/wiki/Adile_Sultan_Palace,,,,,,,
Beylerbeyi Palace,41.04250, 29.04000,https://en.wikipedia.org/wiki/Beylerbeyi_Palace,"Hagop Balyan , Sarkis Balyan",,"Istanbul , Turkey",1861,1861,0,
Çırağan Palace,41.04444, 29.01667,https://en.wikipedia.org/wiki/%C3%87%C4%B1ra%C4%9Fan_Palace,Nigoğayos Balyan,Hotel (former palace),"Beşiktaş , Çırağan Caddesi 32, Istanbul , Turkey",1863,1867,4,1991
Dolmabahçe Clock Tower,41.0376083, 28.9964361,https://en.wikipedia.org/wiki/Dolmabah%C3%A7e_Clock_Tower,Sarkis Balyan,Clock tower,"Istanbul , Turkey , Dolmabahçe Palace , Dolmabahçe Caddesi",1890,1895,5,
Esma Sultan Mansion,41.047481, 29.02745,https://en.wikipedia.org/wiki/Esma_Sultan_Mansion,Sarkis Balyan Redevelopment: Gökhan Avcıoğlu,"Brick Redevelopment: Brick, steel and glass","Ortaköy , Istanbul , Turkey",1875,1875,0,2001
Feriye Palace,41.04556, 29.02028,https://en.wikipedia.org/wiki/Feriye_Palace,Sarkis Balyan,Palace,"Istanbul , Turkey",1871,1871,0,
Liberation Mosque,37.06028, 37.37556,https://en.wikipedia.org/wiki/Liberation_Mosque,Sarkis Balyan,mosque,"Şahinbey , Gaziantep Province , Turkey",1892,1893,1,
Malta Kiosk,41.0513000, 29.0159000,https://en.wikipedia.org/wiki/Malta_Kiosk,,,,,,,
Yıldız Hamidiye Mosque,41.0494111, 29.0099361,https://en.wikipedia.org/wiki/Y%C4%B1ld%C4%B1z_Hamidiye_Mosque,Sarkis Balyan,Mosque,"Istanbul , Turkey",1884,1886,2,
Al-Adiliyah Mosque,36.197444, 37.157750,https://en.wikipedia.org/wiki/Al-Adiliyah_Mosque,Mimar Sinan,Mosque,Aleppo,,1566,,
Atik Valide Mosque,41.018797, 29.023862,https://en.wikipedia.org/wiki/Atik_Valide_Mosque,Mimar Sinan,,"Istanbul , Turkey",1571,1586,15,
Behram Pasha Mosque,37.9094, 40.2342,https://en.wikipedia.org/wiki/Behram_Pasha_Mosque,Sinan,Mosque,"Sur , Diyarbakır , Turkey",1564,1572,8,
Caferağa Medrese,41.00964, 28.97883,https://en.wikipedia.org/wiki/Cafera%C4%9Fa_Medrese,Mimar Sinan,Madrasah,"Istanbul , Turkey",,1559,,
Damascus Gate,31.781639, 35.230500,https://en.wikipedia.org/wiki/Damascus_Gate,,,Jerusalem,,1537,,
Defterdar Mosque,41.042, 28.9376,https://en.wikipedia.org/wiki/Defterdar_Mosque,Mimar Sinan,Mosque,"Istanbul , Turkey",,1542,,
Ese Kapi Mosque,41.004662, 28.939911,https://en.wikipedia.org/wiki/Ese_Kapi_Mosque,,mosque,Turkey,,,,
Gazi Hajdar Kadi Mosque,41.0349917, 21.3384750,https://en.wikipedia.org/wiki/Gazi_Hajdar_Kadi_Mosque,Mimar Sinan,mosque,"Bitola , North Macedonia",,1561,,
Hadim Ibrahim Pasha Mosque,41.006000, 28.922694,https://en.wikipedia.org/wiki/Hadim_Ibrahim_Pasha_Mosque,Mimar Sinan,Mosque,"Istanbul , Turkey",,1551,,
Hürrem Sultan Hamam,41.00732, 28.97928,https://en.wikipedia.org/wiki/H%C3%BCrrem_Sultan_Hamam,,,"Fatih , Istanbul , Cankurtaran Mah. Ayasofya Meydanı No:2",,1556,,2011
Hajji Ahmed the Ducat Minter's Mosque,43.83333, 17.00000,https://en.wikipedia.org/wiki/Hajji_Ahmed_the_Ducat_Minter%27s_Mosque,Mimar Sinan,Mosque,Livno,,1574,,
Haseki Sultan Complex,41.008556, 28.941833,https://en.wikipedia.org/wiki/Haseki_Sultan_Complex,Mimar Sinan,,"Avrat Pazarı neighbourhood, Fatih district, Istanbul , Turkey",,1538,,
"İskender Pasha Mosque, Kanlıca",41.10002, 29.06587,"https://en.wikipedia.org/wiki/%C4%B0skender_Pasha_Mosque,_Kanl%C4%B1ca",Mimar Sinan,Mosque,Kanlıca,,1559,,
Juma-Jami Mosque,45.19583, 33.37722,https://en.wikipedia.org/wiki/Juma-Jami_Mosque,Mimar Sinan,Architecture,Yevpatoria,,1564,,
Kanuni Bridge,41.68672, 26.55899,https://en.wikipedia.org/wiki/Kanuni_Bridge,Mimar Sinan,,,,1554,,
Kanuni Sultan Suleiman bridge (Istanbul),41.021944, 28.570556,https://en.wikipedia.org/wiki/Kanuni_Sultan_Suleiman_bridge_(Istanbul),,,,1566,1567,1,
Kara Ahmed Pasha Mosque,41.02111, 28.92917,https://en.wikipedia.org/wiki/Kara_Ahmed_Pasha_Mosque,Mimar Sinan,mosque,"Istanbul , Turkey",1555,1572,17,
Karađoz Bey Mosque,43.34111, 17.81389,https://en.wikipedia.org/wiki/Kara%C4%91oz_Bey_Mosque,Mimar Sinan,Category I cultural monument,"Mostar , Federation of Bosnia and Herzegovina",,1557,,2004
Kılıç Ali Pasha Complex,41.026373, 28.980928,https://en.wikipedia.org/wiki/K%C4%B1l%C4%B1%C3%A7_Ali_Pasha_Complex,Mimar Sinan,Mosque,"Istanbul , Turkey",1578,1580,2,
Küçükçekmece Bridge,40.98889, 28.77222,https://en.wikipedia.org/wiki/K%C3%BC%C3%A7%C3%BCk%C3%A7ekmece_Bridge,,,,,1560,,
Mehmed Paša Sokolović Bridge,43.78, 19.29,https://en.wikipedia.org/wiki/Mehmed_Pa%C5%A1a_Sokolovi%C4%87_Bridge,Mimar Sinan,Cultural,,,1577,,
Mesih Mehmed Pasha Mosque,41.0219, 28.9434,https://en.wikipedia.org/wiki/Mesih_Mehmed_Pasha_Mosque,Mimar Sinan,Mosque,"Hırka-i Şerif, Fatih , Istanbul",1584,1585,1,
"Mihrimah Sultan Mosque, Üsküdar",41.02667, 29.01611,"https://en.wikipedia.org/wiki/Mihrimah_Sultan_Mosque,_%C3%9Csk%C3%BCdar",Mimar Sinan,Mosque,"Istanbul , Turkey",1543,1548,5,
Molla Çelebi Mosque,41.0321, 28.9906,https://en.wikipedia.org/wiki/Molla_%C3%87elebi_Mosque,Mimar Sinan,Mosque,"Istanbul , Turkey",1570,1584,14,
Muradie Mosque,40.469049, 19.490932,https://en.wikipedia.org/wiki/Muradie_Mosque,Mimar Sinan,Islamic architecture,"Vlorë , Vlorë County",,1542,,
Osman Shah Mosque,39.55000, 21.77111,https://en.wikipedia.org/wiki/Osman_Shah_Mosque,Mimar Sinan,Mosque,"Trikala , Thessaly",1566,1570,4,
Pertev Pasha Mosque,40.7628, 29.9310,https://en.wikipedia.org/wiki/Pertev_Pasha_Mosque,Mimar Sinan,Mosque architecture,"İzmit , Kocaeli Province",1572,1580,8,
Piyale Pasha Mosque,41.0466, 28.966,https://en.wikipedia.org/wiki/Piyale_Pasha_Mosque,Mimar Sinan,mosque,"Istanbul , Turkey",1565,1573,8,
Rüstem Pasha Caravanserai (Edirne),41.67556, 26.55556,https://en.wikipedia.org/wiki/R%C3%BCstem_Pasha_Caravanserai_(Edirne),Ertan Cakirlar,Caravanserai,"Edirne , Turkey",,1561,,1972
Rüstem Pasha Caravanserai (Ereğli),37.514361, 34.050139,https://en.wikipedia.org/wiki/R%C3%BCstem_Pasha_Caravanserai_(Ere%C4%9Fli),Mimar Sinan,Caravanserai,"Ereğli, Konya , Turkey",,1552,,
Rüstem Pasha Medrese,41.013167, 28.972444,https://en.wikipedia.org/wiki/R%C3%BCstem_Pasha_Medrese,Mimar Sinan,Medrese,"Fatih, Istanbul , Turkey",,1551,,
Rüstem Pasha Mosque,41.01750, 28.96861,https://en.wikipedia.org/wiki/R%C3%BCstem_Pasha_Mosque,Mimar Sinan,Ottoman-era mosque,"Istanbul , Turkey",1561,1563,2,
Şehzade Mosque,41.013806, 28.957167,https://en.wikipedia.org/wiki/%C5%9Eehzade_Mosque,Mimar Sinan,Mosque,"Istanbul , Turkey",1543,1548,5,
"Selimiye Mosque, Edirne",41.67806, 26.55944,"https://en.wikipedia.org/wiki/Selimiye_Mosque,_Edirne",Mimar Sinan,Cultural,"Edirne , Turkey",1568,1574,6,
Şemsi Pasha Mosque,41.02583, 29.01139,https://en.wikipedia.org/wiki/%C5%9Eemsi_Pasha_Mosque,Mimar Sinan,Mosque,"Istanbul , Turkey",1580,1581,1,
"Seven Saints Church, Sofia",42.68972, 23.32778,"https://en.wikipedia.org/wiki/Seven_Saints_Church,_Sofia","Mimar Sinan (1547) Alexander Pomerantsev , Yordan Milanov , Petko Momchilov (1902)",,"25, Graf Ignatiev str, Sofia",,,,
Sinan Pasha Mosque (Istanbul),41.042343, 29.006245,https://en.wikipedia.org/wiki/Sinan_Pasha_Mosque_(Istanbul),Mimar Sinan,Mosque,"Istanbul , Turkey",1554,1555,1,
"Sokollu Mehmed Pasha Mosque, Azapkapı",41.02500, 28.96778,"https://en.wikipedia.org/wiki/Sokollu_Mehmed_Pasha_Mosque,_Azapkap%C4%B1",Mimar Sinan,mosque,"Istanbul , Turkey",1573,1577,4,
"Sokollu Mehmed Pasha Mosque, Büyükçekmece",41.02222, 28.57611,"https://en.wikipedia.org/wiki/Sokollu_Mehmed_Pasha_Mosque,_B%C3%BCy%C3%BCk%C3%A7ekmece",Mimar Sinan,mosque,"Istanbul , Turkey",,1567,,
"Sokollu Mehmed Pasha Mosque, Kadırga",41.00472, 28.97222,"https://en.wikipedia.org/wiki/Sokollu_Mehmed_Pasha_Mosque,_Kad%C4%B1rga",Mimar Sinan,mosque,"Istanbul , Turkey",1568,1571,3,
Sulaymaniyya Takiyya,33.51250, 36.29139,https://en.wikipedia.org/wiki/Sulaymaniyya_Takiyya,Mimar Sinan,Takiyya,Damascus,,1559,,
Süleymaniye Hamam,41.0159, 28.9658,https://en.wikipedia.org/wiki/S%C3%BCleymaniye_Hamam,Mimar Sinan,Hamam,"Istanbul , Turkey",,1557,,
Süleymaniye Mosque,41.01611, 28.96389,https://en.wikipedia.org/wiki/S%C3%BCleymaniye_Mosque,Mimar Sinan,Mosque,"Istanbul , Turkey",1550,1557,7,
Tomb of Hayreddin Barbarossa,41.04194, 29.00694,https://en.wikipedia.org/wiki/Tomb_of_Hayreddin_Barbarossa,,,"Beşiktaş , Istanbul",,,,
Vlorë Castle,40.455073, 19.485369,https://en.wikipedia.org/wiki/Vlor%C3%AB_Castle,,,,1537,1537,0,
Yavuz Selim Mosque,41.026556, 28.951333,https://en.wikipedia.org/wiki/Yavuz_Selim_Mosque,,Mosque,"Istanbul , Turkey",1520,1527,7,
Zal Mahmud Pasha Mosque,41.044778, 28.935821,https://en.wikipedia.org/wiki/Zal_Mahmud_Pasha_Mosque,Mimar Sinan,Mosque,"Istanbul , Turkey",1577,1590,13,
Ankara Palas,39.94064, 32.85229,https://en.wikipedia.org/wiki/Ankara_Palas,"Vedat Tek , Kemaleddin Bey",,"Ankara , Turkey",1924,1928,4,
Aviation Martyrs' Monument,41.01560, 28.95418,https://en.wikipedia.org/wiki/Aviation_Martyrs%27_Monument,,Memorial,"Fatih , Istanbul in Turkey [ 1 ]",,,,
Grand Post Office,41.014568, 28.974140,https://en.wikipedia.org/wiki/Grand_Post_Office,Vedat Tek,,"Sirkeci , Büyük Postane Cad. 25, Istanbul , Turkey",1905,1909,4,
Haliç Congress Center,41.0503, 28.9400,https://en.wikipedia.org/wiki/Hali%C3%A7_Congress_Center,Vedat Tek,Cultural center,"Beyoğlu , Istanbul , Turkey",1919,1923,4,2009
İzmit Clock Tower,40.762806, 29.919611,https://en.wikipedia.org/wiki/%C4%B0zmit_Clock_Tower,Vedat Tek,Clock tower,"İzmit , Turkey , Hürriyet Cad., Kemalpaşa",,1902,,1970
Kastamonu Governor's Office,41.37594, 33.77875,https://en.wikipedia.org/wiki/Kastamonu_Governor%27s_Office,Vedat Tek,Office,"Cebrail Mah., 10 Aralık Cad. 24/1, Kastamonu , Turkey",1900,1901,1,
Vedat Tek House,41.050350, 28.989323,https://en.wikipedia.org/wiki/Vedat_Tek_House,Vedat Tek,,"Şişli , Vali Konağı Cd. 41, Halaskargazi Mah. 34371, Istanbul , Turkey",1913,1914,1,
